source	query_id	query_text	target_text	target_id
real_295	17146	Splitão 10TR com condensador centrifugo	AR-CONDICIONADO FRIO SPLITAO MODULAR 10 TR	119965
real_295	28014	Arame galvanizado liso n°16, Bitóla 1,65 mm – rolo de 1kg	ARAME GALVANIZADO 16 BWG, D = 1,65MM (0,0166 KG/M)	119988
real_295	36363	TIJOLO - CERÂMICA - VERMELHA - 6 FUROS - NORMATIZADO	BLOCO CERAMICO VAZADO PARA ALVENARIA DE VEDACAO, 6 FUROS, DE 9 X 14 X 19 CM (L X A X C)	120428
real_295	27741	Bloco estrutural de concreto 14x19x39cm	BLOCO ESTRUTURAL CERAMICO 14 X 19 X 39 CM, 6,0 MPA (NBR 15270)	120506
real_295	27742	Bloco estrutural de concreto 19x19x39cm	BLOCO ESTRUTURAL CERAMICO 19 X 19 X 39 CM, 6,0 MPA (NBR 15270)	120508
real_295	5620	BUCHA DE REDUÇÃO EM COBRE DIA DN 22 MM X 15 MM CLASSE A	BUCHA DE REDUCAO DE COBRE (REF 600-2) SEM ANEL DE SOLDA, PONTA X BOLSA, 22 X 15 MM	120573
real_295	5618	BUCHA DE REDUÇÃO EM COBRE DIA DN 28 MM X 22 MM CLASSE A	BUCHA DE REDUCAO DE COBRE (REF 600-2) SEM ANEL DE SOLDA, PONTA X BOLSA, 28 X 22 MM	120574
real_295	5920	Cabo rede UTP 4 pares cat 6	CABO DE PAR TRANCADO UTP, 4 PARES, CATEGORIA 6	120801
real_295	7939	CAIXA D'AGUA / RESERVATORIO EM POLIESTER REFORCADO COM FIBRA DE VIDRO, 15000 LITROS, COM TAMPA	CAIXA D'AGUA EM POLIETILENO 1500 LITROS, COM TAMPA	120859
real_295	17653	CURVA CURTA 45° PVC OCRE DIÂMETRO 100MM COM CONEXÃO JEI	CURVA PVC, 45 GRAUS, CURTA, PB, DN 100 MM, PARA ESGOTO PREDIAL	121622
real_295	5915	Disjuntor Monopolar 32A Curva C DIN	DISJUNTOR TIPO DIN/IEC, MONOPOLAR DE 6 ATE 32A	121780
real_295	18476	Rolos fita isolante, 19mm x 20m	FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 20 M	122167
real_295	37327	Joelho PVC soldável 20 x 1/2 NBR 5648	"JOELHO PVC, SOLDAVEL COM ROSCA, 90 GRAUS, 20 MM X 1/2"", PARA AGUA FRIA PREDIAL"	122463
real_295	37328	Joelho PVC soldável 25 x 1/2 NBR 5648	"JOELHO PVC, SOLDAVEL COM ROSCA, 90 GRAUS, 25 MM X 1/2"", PARA AGUA FRIA PREDIAL"	122464
real_295	6441	Lavadora de alta pressão	LAVADORA DE ALTA PRESSAO (LAVA - JATO) PARA AGUA FRIA, PRESSAO DE OPERACAO ENTRE 1400 E 1900 LIB/POL2, VAZAO MAXIMA ENTRE 400 E 700 L/H, POTENCIA DE OPERACAO ENTRE 2,50 E 3,00 CV	122693
real_295	42249	Parafuso Máquina - rosca 1,75, comprimento 45mm	PARAFUSO DE ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA SIMPLES, DIAMETRO 4,8 MM, COMPRIMENTO 45 MM	123342
real_295	16718	PLACA CHAPA GESSO ACARTONADO RESISTENTE AO FOGO (rf) COM ROSA, E = 12,5MM, 1200X2400MM (LXC)	PLACA / CHAPA DE GESSO ACARTONADO, RESISTENTE AO FOGO (RF), COR ROSA, E = 12,5 MM, 1200 X 2400 MM (L X C)	123559
real_295	16677	Po De Pedra (Posto Pedreira/Fornecedor, Sem Frete), Incluso Frete	PO DE PEDRA (POSTO PEDREIRA/FORNECEDOR, SEM FRETE)	123613
real_295	17691	POSTE DE CONCRETO DT, 10M, 150 daN	POSTE DE CONCRETO DUPLO T, TIPO B, 300 KG, H = 10 M (NBR 8451)	123704
