"ID_Sup"	"ID_Prod"	"Prod_Desc"	"ID_Itm"	"Itm_Desc"
"295"	"17146"	"Splitão 10TR com condensador centrifugo"	"119965"	"AR-CONDICIONADO FRIO SPLITAO MODULAR 10 TR"
"295"	"28014"	"Arame galvanizado liso n°16, Bitóla 1,65 mm – rolo de 1kg"	"119988"	"ARAME GALVANIZADO 16 BWG, D = 1,65MM (0,0166 KG/M)"
"295"	"36363"	"TIJOLO - CERÂMICA - VERMELHA - 6 FUROS - NORMATIZADO"	"120428"	"BLOCO CERAMICO VAZADO PARA ALVENARIA DE VEDACAO, 6 FUROS, DE 9 X 14 X 19 CM (L X A X C)"
"295"	"27741"	"Bloco estrutural de concreto 14x19x39cm"	"120506"	"BLOCO ESTRUTURAL CERAMICO 14 X 19 X 39 CM, 6,0 MPA (NBR 15270)"
"295"	"27742"	"Bloco estrutural de concreto 19x19x39cm"	"120508"	"BLOCO ESTRUTURAL CERAMICO 19 X 19 X 39 CM, 6,0 MPA (NBR 15270)"
"295"	"5620"	"BUCHA DE REDUÇÃO EM COBRE DIA DN 22 MM X 15 MM CLASSE A"	"120573"	"BUCHA DE REDUCAO DE COBRE (REF 600-2) SEM ANEL DE SOLDA, PONTA X BOLSA, 22 X 15 MM"
"295"	"5618"	"BUCHA DE REDUÇÃO EM COBRE DIA DN 28 MM X 22 MM CLASSE A"	"120574"	"BUCHA DE REDUCAO DE COBRE (REF 600-2) SEM ANEL DE SOLDA, PONTA X BOLSA, 28 X 22 MM"
"295"	"5920"	"Cabo rede UTP 4 pares cat 6"	"120801"	"CABO DE PAR TRANCADO UTP, 4 PARES, CATEGORIA 6"
"295"	"7939"	"CAIXA D'AGUA / RESERVATORIO EM POLIESTER REFORCADO COM FIBRA DE VIDRO, 15000 LITROS, COM TAMPA"	"120859"	"CAIXA D'AGUA EM POLIETILENO 1500 LITROS, COM TAMPA"
"295"	"17653"	"CURVA CURTA 45° PVC OCRE DIÂMETRO 100MM COM CONEXÃO JEI"	"121622"	"CURVA PVC, 45 GRAUS, CURTA, PB, DN 100 MM, PARA ESGOTO PREDIAL"
"295"	"5915"	"Disjuntor Monopolar 32A Curva C DIN"	"121780"	"DISJUNTOR TIPO DIN/IEC, MONOPOLAR DE 6 ATE 32A"
"295"	"18476"	"Rolos fita isolante, 19mm x 20m"	"122167"	"FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 20 M"
"295"	"37327"	"Joelho PVC soldável 20 x 1/2 NBR 5648"	"122463"	"JOELHO PVC, SOLDAVEL COM ROSCA, 90 GRAUS, 20 MM X 1/2"", PARA AGUA FRIA PREDIAL"
"295"	"37328"	"Joelho PVC soldável 25 x 1/2 NBR 5648"	"122464"	"JOELHO PVC, SOLDAVEL COM ROSCA, 90 GRAUS, 25 MM X 1/2"", PARA AGUA FRIA PREDIAL"
"295"	"6441"	"Lavadora de alta pressão"	"122693"	"LAVADORA DE ALTA PRESSAO (LAVA - JATO) PARA AGUA FRIA, PRESSAO DE OPERACAO ENTRE 1400 E 1900 LIB/POL2, VAZAO MAXIMA ENTRE 400 E 700 L/H, POTENCIA DE OPERACAO ENTRE 2,50 E 3,00 CV"
"295"	"42249"	"Parafuso Máquina - rosca 1,75, comprimento 45mm"	"123342"	"PARAFUSO DE ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA SIMPLES, DIAMETRO 4,8 MM, COMPRIMENTO 45 MM"
"295"	"16718"	"PLACA CHAPA GESSO ACARTONADO RESISTENTE AO FOGO (rf) COM ROSA, E = 12,5MM, 1200X2400MM (LXC)"	"123559"	"PLACA / CHAPA DE GESSO ACARTONADO, RESISTENTE AO FOGO (RF), COR ROSA, E = 12,5 MM, 1200 X 2400 MM (L X C)"
"295"	"16677"	"Po De Pedra (Posto Pedreira/Fornecedor, Sem Frete), Incluso Frete"	"123613"	"PO DE PEDRA (POSTO PEDREIRA/FORNECEDOR, SEM FRETE)"
"295"	"17691"	"POSTE DE CONCRETO DT, 10M, 150 daN"	"123704"	"POSTE DE CONCRETO DUPLO T, TIPO B, 300 KG, H = 10 M (NBR 8451)"
"295"	"41222"	"TELA DE AÇO SOLDADA NERVURADA, CA-60, Q-196, (3,11 KG/M2), DIAMETRO DO FIO = 5,0 MM, LARGURA = 2,45 M, ESPACAMENTO DA MALHA = 10 X 10 CM"	"124369"	"TELA DE ACO SOLDADA NERVURADA, CA-60, Q-196, (3,11 KG/M2), DIAMETRO DO FIO = 5,0 MM, LARGURA = 2,45 M, ESPACAMENTO DA MALHA = 10 X 10 CM"
"295"	"6643"	"TELHA DE CONCRETO TIPO CLASSICA, COR CINZA, COMPRIMENTO DE *42* CM, RENDIMENTO DE *10* TELHAS/M2 (COLETADO CAIXA)"	"124395"	"TELHA DE CONCRETO TIPO CLASSICA, COR CINZA, COMPRIMENTO DE *42* CM, RENDIMENTO DE *10* TELHAS/M2"
"295"	"50871"	"TELHA FIBROCIMENTO FOLHA 2,44 X 1,10 6 MM"	"124409"	"TELHA DE FIBROCIMENTO ONDULADA E = 6 MM, DE 2,44 X 1,10 M (SEM AMIANTO)"
"295"	"16719"	"TELHA GALVALUME COM ISOLAMENTO TERMOACUSTICO EM ESPUMA RIGIDA DE POLIURETANO INJETADO ESPESSURA DE 30MM, DENSIDADE DE 35KG/M3 REVESTIMENTO EM TELHA TRAPEZOIDAL NAS DUAS FACES COM ESPESSURA DE 0,50MM CADA, PINTADA NA COR BRANCA"	"124433"	"TELHA GALVALUME COM ISOLAMENTO TERMOACUSTICO EM ESPUMA RIGIDA DE POLIURETANO (PU) INJETADO, ESPESSURA DE 30 MM, DENSIDADE DE 35 KG/M3, COM DUAS FACES TRAPEZOIDAIS, ACABAMENTO NATURAL (NAO INCLUI ACESSORIOS DE FIXACAO)"
"295"	"5604"	"Tinta asfáltica impermeabilizante"	"124498"	"TINTA ASFALTICA IMPERMEABILIZANTE DISPERSA EM AGUA, PARA MATERIAIS CIMENTICIOS"
