ID_Prod	ID_Itm	Prod_Desc	Itm_Desc
6024	126721	AJUDANTE DE ESTRUTURAS METALICAS HORISTA	AJUDANTE DE ESTRUTURAS METALICAS HORISTA [SINAPI 44499]
6025	126722	APOIO DO PORTA DENTE PARA FRESADORA DE ASFALTO	APOIO DO PORTA DENTE PARA FRESADORA DE ASFALTO [SINAPI 44473]
34757	126722	APOIO DO PORTA DENTE PARA FRESADORA DE ASFALTO	APOIO DO PORTA DENTE PARA FRESADORA DE ASFALTO [SINAPI 44473]
6026	126723	AQUECEDOR DE OLEO BPF (FLUIDO) TERMICO, CAPACIDADE DE 300.000 KCAL/H	AQUECEDOR DE OLEO BPF (FLUIDO) TERMICO, CAPACIDADE DE 300.000 KCAL/H [SINAPI 44498]
717	126723	AQUECEDOR DE OLEO BPF (FLUIDO) TERMICO, CAPACIDADE DE 300.000 KCAL/H	AQUECEDOR DE OLEO BPF (FLUIDO) TERMICO, CAPACIDADE DE 300.000 KCAL/H [SINAPI 44498]
6027	126724	BETONEIRA CAPACIDADE NOMINAL 600 L, CAPACIDADE DE MISTURA 440 L, MOTOR A GASOLINA POTENCIA 10 HP, COM CARREGADOR	BETONEIRA CAPACIDADE NOMINAL 600 L, CAPACIDADE DE MISTURA 440 L, MOTOR A GASOLINA POTENCIA 10 HP, COM CARREGADOR [SINAPI 44492]
923	126724	BETONEIRA CAPACIDADE NOMINAL 600 L, CAPACIDADE DE MISTURA 440 L, MOTOR A GASOLINA POTENCIA 10 HP, COM CARREGADOR	BETONEIRA CAPACIDADE NOMINAL 600 L, CAPACIDADE DE MISTURA 440 L, MOTOR A GASOLINA POTENCIA 10 HP, COM CARREGADOR [SINAPI 44492]
6028	126735	BOMBA TRIPLEX COM MOTOR A DIESEL, NACIONAL, DIAMETRO DE SUCCAO DE 2 1/2''	BOMBA TRIPLEX COM MOTOR A DIESEL, NACIONAL, DIAMETRO DE SUCCAO DE 2 1/2'' [SINAPI 44489]
6029	126736	CAIXA DE INSPECAO PARA ATERRAMENTO OU OUTRO USO, EM PVC, DN = 250 X 250 MM	CAIXA DE INSPECAO PARA ATERRAMENTO OU OUTRO USO, EM PVC, DN = 250 X 250 MM [SINAPI 41480]
6030	126737	CAIXA DE INSPECAO PARA ATERRAMENTO OU OUTRO USO, EM PVC, DN = 300 X *300* MM	CAIXA DE INSPECAO PARA ATERRAMENTO OU OUTRO USO, EM PVC, DN = 300 X *300* MM [SINAPI 41474]
6031	126738	CAIXA DE INSPECAO PARA ATERRAMENTO OU OUTRO USO, EM PVC, DN = 300 X 250 MM	CAIXA DE INSPECAO PARA ATERRAMENTO OU OUTRO USO, EM PVC, DN = 300 X 250 MM [SINAPI 41475]
6032	126739	CAIXA DE INSPECAO PARA ATERRAMENTO OU OUTRO USO, EM PVC, DN = 300 X 600 MM	CAIXA DE INSPECAO PARA ATERRAMENTO OU OUTRO USO, EM PVC, DN = 300 X 600 MM [SINAPI 41476]
1422	126740	CALCARIO DOLOMITICO A (POSTO PEDREIRA/FORNECEDOR, SEM FRETE)	CALCARIO DOLOMITICO A (POSTO PEDREIRA/FORNECEDOR, SEM FRETE) [SINAPI 44479]
6033	126740	CALCARIO DOLOMITICO A (POSTO PEDREIRA/FORNECEDOR, SEM FRETE)	CALCARIO DOLOMITICO A (POSTO PEDREIRA/FORNECEDOR, SEM FRETE) [SINAPI 44479]
6034	126741	CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 300 MM, DUAS DESCIDAS	CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 300 MM, DUAS DESCIDAS [SINAPI 41410]
6035	126742	CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 300 MM, UMA DESCIDA	CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 300 MM, UMA DESCIDA [SINAPI 41411]
6036	126743	CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 350 MM, DUAS DESCIDAS	CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H = 350 MM, DUAS DESCIDAS [SINAPI 41412]
6037	126744	CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H=350 MM, UMA DESCIDA	CAPTOR FRANKLIN (4 PONTAS), EM LATAO CROMADO, H=350 MM, UMA DESCIDA [SINAPI 41413]
6038	126745	CHAPA/PAINEL DE MADEIRA COMPENSADA PLASTIFICADA (MADEIRITE PLASTIFICADO) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 14 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA PLASTIFICADA (MADEIRITE PLASTIFICADO) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 14 MM [SINAPI 43678]
6039	126746	CHAPA/PAINEL DE MADEIRA COMPENSADA PLASTIFICADA (MADEIRITE PLASTIFICADO) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 20 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA PLASTIFICADA (MADEIRITE PLASTIFICADO) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 20 MM [SINAPI 43680]
6040	126747	CHAPA/PAINEL DE MADEIRA COMPENSADA PLASTIFICADA (MADEIRITE PLASTIFICADO) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 6 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA PLASTIFICADA (MADEIRITE PLASTIFICADO) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 6 MM [SINAPI 43679]
6041	126748	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 x 1100 MM, E = 8 A 12 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 x 1100 MM, E = 8 A 12 MM [SINAPI 43681]
48090	126748	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 8 A 12 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 x 1100 MM, E = 8 A 12 MM [SINAPI 43681]
6042	126749	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 20 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 20 MM [SINAPI 43677]
15653	126749	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 20 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 20 MM [SINAPI 43677]
6043	126750	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 6 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 6 MM [SINAPI 43682]
48089	126750	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 6 MM	CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 6 MM [SINAPI 43682]
6044	126751	CIMENTO PORTLAND ESTRUTURAL BRANCO CPB-32	CIMENTO PORTLAND ESTRUTURAL BRANCO CPB-32 [SINAPI 44528]
1670	126751	CIMENTO PORTLAND ESTRUTURAL BRANCO CPB-32	CIMENTO PORTLAND ESTRUTURAL BRANCO CPB-32 [SINAPI 44528]
6045	126752	COLA BRANCA BASE PVA	COLA BRANCA BASE PVA [SINAPI 44396]
1677	126752	COLA BRANCA BASE PVA	COLA BRANCA BASE PVA [SINAPI 44396]
6046	126753	COLA PARA TUBOS E MANTAS ELASTOMERICAS, A BASE DE SOLVENTE	COLA PARA TUBOS E MANTAS ELASTOMERICAS, A BASE DE SOLVENTE [SINAPI 44327]
6047	126754	CONTRAMARCO DE ALUMINIO (PERFIL 25) PARA ESQUADRIAS, TIPO CONVENCIONAL / CADEIRINHA, 60 MM (CM-060), INCLUSO CONEXOES, GRAPAS E TRAVAMENTOS	CONTRAMARCO DE ALUMINIO (PERFIL 25) PARA ESQUADRIAS, TIPO CONVENCIONAL / CADEIRINHA, 60 MM (CM-060), INCLUSO CONEXOES, GRAPAS E TRAVAMENTOS [SINAPI 43657]
6048	126755	DENTE PARA FRESADORA	DENTE PARA FRESADORA [SINAPI 44472]
2214	126755	DENTE PARA FRESADORA	DENTE PARA FRESADORA [SINAPI 44472]
6049	126756	DESINFETANTE PRONTO USO	DESINFETANTE PRONTO USO [SINAPI 44330]
6050	126757	DETERGENTE NEUTRO USO GERAL, CONCENTRADO	DETERGENTE NEUTRO USO GERAL, CONCENTRADO [SINAPI 44329]
6051	126758	"DISCO DE BORRACHA PARA LIXADEIRA RIGIDO 7 "" COM ARRUELA CENTRAL"	"DISCO DE BORRACHA PARA LIXADEIRA RIGIDO 7 "" COM ARRUELA CENTRAL [SINAPI 44532]"
6052	126759	"DISCO DE CORTE DIAMANTADO SEGMENTADO DIAMETRO DE 180 MM PARA ESMERILHADEIRA 7 """	"DISCO DE CORTE DIAMANTADO SEGMENTADO DIAMETRO DE 180 MM PARA ESMERILHADEIRA 7 "" [SINAPI 44531]"
