topic_id;keywords;n_queries;n_real;n_synth;item_count_no_topico;map_medio;bm25;e5;e5_hybrid;bge_m3_hybrid
6;amarracao, abracadeira, zamac, cromado, dobradica, poco;1;1;0;97;1.0000;1.0000;1.0000;1.0000;1.0000
8;inox, maquina, kit, mm fechadura, fechadura, carenagem;2;2;0;94;1.0000;1.0000;1.0000;1.0000;1.0000
9;adaptador pvc, adaptador, pvc soldavel, agua adaptador, caixa agua, soldavel;13;13;0;94;1.0000;1.0000;1.0000;1.0000;1.0000
13;aluminio, rosca 12, bucha, 12 eletroduto, eletroduto, bucha reducao;3;3;0;76;1.0000;1.0000;1.0000;1.0000;1.0000
51;din, quadro, distribuicao, trifasico, embutir chapa, chapa aco;1;1;0;38;1.0000;1.0000;1.0000;1.0000;1.0000
48;mpa nbr, mpa, estrutural, bloco, canaleta, nbr;2;2;0;38;1.0000;1.0000;1.0000;1.0000;1.0000
34;prediais, pluviais prediais, esgoto aguas, pvc serie, serie, mm esgoto;2;2;0;50;1.0000;1.0000;1.0000;1.0000;1.0000
37;cobre anel, tubulacao, disjuntor, espuma polietileno, polietileno expandido, mm luva;3;3;0;47;1.0000;1.0000;1.0000;1.0000;1.0000
29;disjuntor, ac, tripolar, corrente, vazao maxima, plana;2;2;0;56;1.0000;1.0000;1.0000;1.0000;1.0000
31;gas, controle, condicionado, ar condicionado, ar, teto;2;2;0;54;1.0000;1.0000;1.0000;1.0000;1.0000
30;bsp, rosca bsp, galvanizado rosca, ferro, ferro galvanizado, curva graus;2;2;0;55;1.0000;1.0000;1.0000;1.0000;1.0000
18;conexao crimpagem, crimpagem, plastico, conexao, tubo pex, pex;1;1;0;64;1.0000;1.0000;1.0000;1.0000;1.0000
17;eucalipto, tratamento, regiao, preto, cm mm, painel;5;5;0;65;1.0000;1.0000;1.0000;1.0000;1.0000
16;lampada, bivolt, luva eletroduto, lampada vapor, base e27, base;1;1;0;66;1.0000;1.0000;1.0000;1.0000;1.0000
103;pvc rigido, rigido, curva graus, roscavel, longa, eletroduto;1;1;0;24;1.0000;1.0000;1.0000;1.0000;1.0000
118;cabo mm2, terminal, pressao, furo, metalico, mm2;2;2;0;22;1.0000;1.0000;1.0000;1.0000;1.0000
121;unipolar, blindado, cobertura, kv, isolacao, cabo cobre;5;5;0;22;1.0000;1.0000;1.0000;1.0000;1.0000
55;circular, dan, resistencia dan, extensao resistencia, armado secao, poste concreto;15;15;0;36;1.0000;1.0000;1.0000;1.0000;1.0000
47;perfurada, mm virola, virola tampa, galvanizado espessura, removivel, virola;2;2;0;39;1.0000;1.0000;1.0000;1.0000;1.0000
83;faces, termoplastica, bolsa bolsa, manta, mm nbr, bolsa;14;14;0;28;1.0000;1.0000;1.0000;1.0000;1.0000
95;caixa passagem, passagem, dimensoes, cm caixa, sobrepor, tampa;1;1;0;25;1.0000;1.0000;1.0000;1.0000;1.0000
98;laje premoldada, unidirecional sobrecarga, sobrecarga, unidirecional, premoldada, vao;1;1;0;25;1.0000;1.0000;1.0000;1.0000;1.0000
62;cm cm, modelo, natural, mpa, cor, cm;2;2;0;32;1.0000;1.0000;1.0000;1.0000;1.0000
100;fogo, bandeira, mm sinapi, mecanica, 15 mm, aco galvanizado;12;12;0;25;0.9792;1.0000;0.9167;1.0000;1.0000
67;usinado, servico, resistencia, latao cromado, classe, nbr;5;5;0;32;0.9750;1.0000;0.9000;1.0000;1.0000
68;corte, galvanizada, calha, rufo, chapa aco, lajes;3;3;0;31;0.9611;1.0000;0.9000;0.9444;1.0000
81;resistencia dan, dan, extensao resistencia, armado secao, extensao, poste concreto;21;21;0;28;0.9573;0.9762;0.9087;1.0000;0.9444
90;resistencia dan, dan, extensao resistencia, armado secao, extensao, poste concreto;22;22;0;26;0.9527;1.0000;0.8561;1.0000;0.9545
122;fibra vidro, litros tampa, fibra, reforcado, reservatorio, litros;5;5;0;21;0.9500;0.9000;1.0000;0.9000;1.0000
11;cpvc, cpvc soldavel, agua quente, quente, mm agua, soldavel mm;5;5;0;87;0.9333;1.0000;0.7333;1.0000;1.0000
42;litros, litros tampa, tampa caixa, asfaltica, caixa dagua, dagua;13;13;0;42;0.9325;0.9670;0.8660;0.9290;0.9679
14;cabo, mm cabo, cobre flexivel, secao nominal, nominal mm, nominal;7;7;0;73;0.9137;0.9286;0.9048;0.9286;0.8929
69;moldado, comp, contribuintes, guia, concreto premoldado, mm malha;17;17;0;31;0.9118;0.9118;0.9118;0.9118;0.9118
114;impermeabilizante, liquido, epoxi, base resina, resina, adesivo;4;4;0;22;0.9062;0.8750;0.8750;1.0000;0.8750
7;motor, cv, capacidade, motor diesel, diesel, potencia;24;24;0;96;0.8924;0.8958;0.8819;0.8958;0.8958
25;metal, cromado, sifao, valvula, americana, lavatorio;3;3;0;60;0.8750;0.8333;1.0000;0.8333;0.8333
119;quente fria, mm cor, conector, cor marrom, marrom agua, marrom;5;2;3;22;0.8675;1.0000;0.7534;0.8833;0.8333
53;fofo, tampao, carga, redondo, requadro, base;3;3;0;37;0.8611;1.0000;0.7778;0.8333;0.8333
3;angelim, regiao, regiao bruta, bruta, 25, 75;11;11;0;116;0.8552;0.8697;0.8336;0.8470;0.8706
126;mm cor, cor marrom, marrom, marrom agua, soldavel graus, graus mm;12;0;12;21;0.8366;0.7757;0.8400;0.8875;0.8431
23;mm anel, tampa concreto, elastica, arame, malha cm, tubo concreto;23;23;0;61;0.8219;0.8435;0.8128;0.8674;0.7640
111;roscavel flanges, vedacao mm, flanges anel, anel vedacao, flanges, mm caixa;14;14;0;23;0.8168;0.8265;0.7870;0.8244;0.8294
71;tensao, isolante, kv, transformador, potencia kva, mineral;1;1;0;31;0.8125;1.0000;0.2500;1.0000;1.0000
45;predial luva, luva pvc, luva, pvc mm, fria predial, agua fria;6;0;6;40;0.8120;0.8183;0.7472;0.9081;0.7745
-1;outliers (sem tópico coerente);223;220;3;1694;0.8053;0.7998;0.7853;0.8062;0.8299
107;forro, forro pvc, regua, cm espessura, borda, mineral;8;8;0;23;0.7969;0.7083;0.8125;0.7708;0.8958
44;grelha, branca, pvc mm, ralo, redonda, quadrada;5;5;0;41;0.7917;0.8000;0.7667;0.8000;0.8000
89;ponta, mm junta, expansao, junta, 900, ponta bolsa;2;2;0;27;0.7917;0.4167;1.0000;0.7500;1.0000
32;tubo pvc, corrugado, 5688, nbr 5688, luva correr, rede coletora;10;10;0;54;0.7872;0.8417;0.6418;0.8077;0.8577
12;tinta, premium, acrilica, tinta esmalte, esmalte, sinapi;58;58;0;79;0.7838;0.8227;0.7496;0.7849;0.7781
22;janela, brilhante, bandeira, aluminio, vidro, janela correr;25;25;0;62;0.7375;0.7933;0.6313;0.7332;0.7923
10;hp, peso, hp peso, potencia, liquida, maximo;11;11;0;90;0.7218;0.7364;0.6758;0.7364;0.7386
123;lavatorio, mesa lavatorio, mesa, cromada, cromada mesa, torneira;7;7;0;21;0.7120;0.7063;0.6952;0.7143;0.7321
112;predial nbr, 5648, nbr 5648, tubo pvc, nervurado, graus soldavel;9;3;6;23;0.6981;0.5533;0.6944;0.7297;0.8148
26;operador, horista, mensalista, maquinas, betoneira, trafego;4;4;0;59;0.6771;1.0000;0.3333;0.5000;0.8750
88;poste, poste concreto, kg, circular, bolsa, bolsa bolsa;3;3;0;27;0.6751;0.7083;0.5000;0.7778;0.7143
1;parafuso, zincado, cabeca, soberba, rosca soberba, comprimento mm;3;3;0;144;0.6708;0.8333;0.5000;0.5167;0.8333
85;cat, categoria, 5e, pares, par, patch;7;7;0;27;0.6543;0.5493;0.8214;0.5918;0.6548
57;naval, tubo pvc, compensado, compensado naval, 220, 160;3;3;0;35;0.6410;0.2832;1.0000;0.5667;0.7143
75;forma, madeira, mm sinapi, 11, concreto, mm chapa;20;20;0;30;0.6357;0.7486;0.5366;0.6521;0.6056
50;perfil aco, espelho, laminado, dobradica, mm anel, perfil;5;5;0;38;0.6083;0.7000;0.5000;0.5667;0.6667
24;polido, granito, cm, regiao, marmore, andorinha;8;8;0;60;0.6042;0.6250;0.5625;0.6042;0.6250
