topic	bge_m3_hybrid	bm25	e5	e5_hybrid	n_consultas	delta_bm25_menos_bge
119	0.8333334000000001	1.0	0.7534314	0.8833334	5	0.1666665999999999
75	0.6056448	0.74861105	0.5365873000000001	0.6521289	20	0.14296624999999996
101	0.4280303636363636	0.5378789090909091	0.4077923636363636	0.4075758181818182	11	0.10984854545454548
23	0.7639705652173913	0.84353	0.8128473043478261	0.8673913043478261	23	0.07955943478260874
94	0.5763888333333334	0.6388888333333334	0.19456716666666665	0.6150793333333333	12	0.0625
73	0.7037036666666667	0.7638888333333332	0.2563493333333334	0.4486111666666666	6	0.06018516666666651
2	0.6127703928571429	0.6648171785714286	0.3816732857142857	0.5242801428571429	28	0.05204678571428578
90	0.9545454545454546	1.0	0.8560605909090909	1.0	22	0.045454545454545414
12	0.7780582586206897	0.8226532413793103	0.749585551724138	0.7848864310344827	58	0.044594982758620616
32	0.8099464615384615	0.8507326153846153	0.6488573076923078	0.8392504615384616	13	0.040786153846153805
41	0.2602022	0.2963334	0.24367140000000004	0.257322	5	0.03613120000000003
14	0.8928571428571429	0.9285714285714286	0.9047618571428571	0.9285714285714286	7	0.0357142857142857
50	0.6666666	0.7	0.5	0.5666666	5	0.03333339999999996
81	0.9444444285714285	0.9761904761904762	0.9087301428571428	1.0	21	0.031746047619047646
61	0.3263465	0.34943810000000003	0.2186512	0.2878418	10	0.023091600000000045
21	0.6753471875	0.6822916458333333	0.35116325	0.48750827083333337	48	0.006944458333333348
22	0.79227276	0.79333332	0.63133328	0.7332424399999999	25	0.0010605599999999882
125	0.5	0.5	0.12301585714285714	0.21428571428571427	14	0.0
9	1.0	1.0	1.0	1.0	13	0.0
17	1.0	1.0	1.0	1.0	5	0.0
7	0.8958333333333334	0.8958333333333334	0.8819444166666667	0.8958333333333334	24	0.0
121	1.0	1.0	1.0	1.0	5	0.0
100	1.0	1.0	0.9166666666666666	1.0	12	0.0
67	1.0	1.0	0.9	1.0	5	0.0
55	1.0	1.0	1.0	1.0	15	0.0
11	1.0	1.0	0.7333332	1.0	5	0.0
69	0.9117647058823529	0.9117647058823529	0.9117647058823529	0.9117647058823529	17	0.0
44	0.8	0.8	0.7666666	0.8	5	0.0
83	1.0	1.0	1.0	1.0	14	0.0
24	0.625	0.625	0.5625	0.604166625	8	0.0
42	0.9679486923076923	0.967033	0.8659673076923077	0.928994076923077	13	-0.000915692307692284
3	0.8706293636363637	0.869697	0.8336304545454546	0.8469697272727273	11	-0.0009323636363636201
10	0.7386363636363636	0.7363636363636363	0.6757575454545455	0.7363636363636363	11	-0.002272727272727315
111	0.8293650714285714	0.8265306428571428	0.787013	0.8244047857142858	14	-0.002834428571428571
59	0.45	0.43666669999999996	0.4333330999999999	0.5	10	-0.013333300000000048
123	0.7321428571428571	0.7063491428571428	0.695238	0.7142857142857143	7	-0.02579371428571431
-1	0.8283517801724138	0.7959425560344827	0.7853850215517242	0.8078519827586207	232	-0.032409224137931125
70	0.4109889230769231	0.35906592307692303	0.3789376153846154	0.3552197692307692	13	-0.05192300000000005
122	1.0	0.9	1.0	0.9	5	-0.09999999999999998
15	0.6121323999999999	0.50964	0.408467	0.6094132	5	-0.10249239999999993
85	0.654762	0.5492511428571428	0.8214285714285714	0.5918368571428572	7	-0.10551085714285713
107	0.89583325	0.708333125	0.8125	0.77083325	8	-0.18750012500000002
20	0.5810184444444445	0.36395494444444443	0.3638888888888889	0.45972222222222225	18	-0.21706350000000008
112	0.8148148888888889	0.5533108888888889	0.6944444444444444	0.7296777777777778	9	-0.26150399999999996
