query_id	jaccard	bge_m3_hybrid	bm25	e5	e5_hybrid	source	half
562	0.3636363636363636	0.111111	0.071429	0.018182	0.041667	real_295	inferior
717	0.75	0.5	0.5	0.5	0.5	real_295	inferior
780	0.2	0.25	0.25	0.25	0.25	real_295	inferior
861	0.2777777777777778	0.111111	0.125	0.111111	0.125	real_295	inferior
923	0.8095238095238095	0.5	0.5	0.333333	0.5	real_295	superior
1097	0.5	0.03125	0.02439	0.019608	0.023256	real_295	inferior
1098	0.5	0.029412	0.02381	0.022727	0.02381	real_295	inferior
1275	0.4090909090909091	0.416667	0.416667	0.416667	0.416667	real_295	inferior
1276	0.4090909090909091	0.333333	0.333333	0.333333	0.333333	real_295	inferior
1324	0.2666666666666666	0.5	0.5	0.5	0.5	real_295	inferior
1331	0.391304347826087	0.076923	0.066667	0.058824	0.066667	real_295	inferior
1422	0.7142857142857143	1.0	1.0	1.0	1.0	real_295	inferior
1447	0.7647058823529411	0.111111	0.25	0.066667	0.125	real_295	superior
1448	0.6857142857142857	0.111111	0.333333	0.066667	0.166667	real_295	inferior
1457	0.7647058823529411	0.333333	0.416667	0.196429	0.266667	real_295	superior
1458	0.7647058823529411	0.291667	0.416667	0.196429	0.325	real_295	superior
1618	0.56	0.125	0.142857	0.111111	0.142857	real_295	inferior
1621	0.56	0.142857	0.142857	0.1	0.142857	real_295	inferior
1657	0.4210526315789473	0.5	0.5	0.5	0.5	real_295	inferior
1670	0.5555555555555556	0.5	0.5	0.5	0.5	real_295	inferior
1671	0.3636363636363636	0.5	0.5	0.5	0.5	real_295	inferior
1677	0.5	0.5	0.5	0.5	0.5	real_295	inferior
2017	0.6521739130434783	0.5	0.5	0.5	0.5	real_295	inferior
2214	0.4285714285714285	0.333333	0.333333	0.333333	0.333333	real_295	inferior
2235	0.8518518518518519	0.5	0.5	0.5	0.5	real_295	superior
2236	0.75	1.0	1.0	1.0	1.0	real_295	inferior
2316	0.8571428571428571	0.5	0.5	0.5	0.5	real_295	superior
2318	0.7857142857142857	0.333333	0.5	0.25	0.333333	real_295	superior
2398	0.8235294117647058	0.5	0.5	0.5	0.5	real_295	superior
2399	0.7777777777777778	0.5	0.5	0.5	0.5	real_295	superior
2477	0.8461538461538461	0.5	0.5	0.5	0.5	real_295	superior
2616	0.5	1.0	1.0	1.0	1.0	real_295	inferior
2694	1.0	0.5	0.5	1.0	0.5	real_295	superior
2764	0.8095238095238095	0.5	0.5	0.5	0.5	real_295	superior
2790	0.7142857142857143	1.0	1.0	1.0	1.0	real_295	inferior
2793	0.7142857142857143	1.0	1.0	1.0	1.0	real_295	inferior
2804	0.8260869565217391	1.0	1.0	1.0	1.0	real_295	superior
2805	0.8260869565217391	1.0	1.0	1.0	1.0	real_295	superior
2806	0.8333333333333334	1.0	1.0	1.0	1.0	real_295	superior
2881	0.59375	0.066667	0.071429	0.083333	0.090909	real_295	inferior
2888	0.8421052631578947	0.5	0.5	0.333333	0.5	real_295	superior
2891	0.7708333333333333	0.257576	0.238095	0.309524	0.257576	real_295	superior
2898	0.84	0.5	0.5	0.5	0.5	real_295	superior
3234	0.3529411764705882	0.5	0.5	0.333333	0.5	real_295	inferior
3246	0.68	0.5	0.5	0.5	0.5	real_295	inferior
3445	0.5882352941176471	0.076923	0.166667	0.043478	0.076923	real_295	inferior
3540	0.7777777777777778	0.5	0.5	0.125	0.25	real_295	superior
3541	0.7777777777777778	0.5	0.5	0.125	0.25	real_295	superior
3542	0.7777777777777778	0.5	0.5	0.125	0.2	real_295	superior
3543	0.7777777777777778	0.5	0.5	0.125	0.2	real_295	superior
3544	0.7777777777777778	0.5	0.5	0.125	0.2	real_295	superior
3546	0.7777777777777778	0.5	0.5	0.111111	0.2	real_295	superior
3547	0.8181818181818182	1.0	1.0	1.0	1.0	real_295	superior
3548	0.8181818181818182	1.0	1.0	1.0	1.0	real_295	superior
3549	0.8181818181818182	1.0	1.0	1.0	1.0	real_295	superior
3550	0.8181818181818182	1.0	1.0	1.0	1.0	real_295	superior
3551	0.8181818181818182	1.0	1.0	1.0	1.0	real_295	superior
3552	0.8181818181818182	1.0	1.0	1.0	1.0	real_295	superior
3553	0.8181818181818182	1.0	1.0	1.0	1.0	real_295	superior
3585	0.1818181818181818	0.25	0.125	0.25	0.25	real_295	inferior
3613	0.7	0.333333	0.333333	0.333333	0.333333	real_295	inferior
3614	0.7	0.333333	0.333333	0.333333	0.333333	real_295	inferior
3632	0.8	1.0	1.0	1.0	1.0	real_295	superior
3633	0.8	1.0	1.0	1.0	1.0	real_295	superior
3646	0.4761904761904761	0.5	0.5	0.5	0.5	real_295	inferior
4015	0.8571428571428571	0.5	0.5	0.5	0.5	real_295	superior
4033	0.8709677419354839	0.5	0.5	0.5	0.5	real_295	superior
4108	0.7777777777777778	1.0	1.0	1.0	1.0	real_295	superior
4124	0.5675675675675675	0.1	0.2	0.071429	0.1	real_295	inferior
4126	0.5675675675675675	0.1	0.2	0.071429	0.111111	real_295	inferior
4146	0.5277777777777778	0.090909	0.1	0.076923	0.083333	real_295	inferior
4147	0.5277777777777778	0.090909	0.1	0.083333	0.083333	real_295	inferior
4148	0.5277777777777778	0.083333	0.090909	0.071429	0.083333	real_295	inferior
4149	0.7666666666666667	0.5	0.5	0.5	0.5	real_295	superior
4150	0.5520667726550079	0.172619	0.180556	0.12406	0.158824	real_295	inferior
4151	0.4736842105263157	0.045455	0.04	0.038462	0.038462	real_295	inferior
4152	0.44326923076923075	0.05625	0.05625	0.052989	0.052989	real_295	inferior
4155	0.4736842105263157	0.055556	0.041667	0.037037	0.037037	real_295	inferior
4160	0.5	0.25	0.333333	0.333333	0.25	real_295	inferior
4196	0.5	1.0	1.0	1.0	1.0	real_295	inferior
4226	0.25	0.5	0.5	0.5	0.5	real_295	inferior
4246	0.375	0.5	0.5	0.5	0.5	real_295	inferior
4310	0.8095238095238095	0.5	0.5	0.333333	0.5	real_295	superior
4374	0.3333333333333333	0.333333	0.333333	0.333333	0.333333	real_295	inferior
4478	0.6923076923076923	0.5	0.5	0.5	0.5	real_295	inferior
4488	0.6666666666666666	1.0	1.0	1.0	1.0	real_295	inferior
4619	0.7142857142857143	0.5	0.5	0.5	0.5	real_295	inferior
4856	0.6	1.0	1.0	1.0	1.0	real_295	inferior
4888	0.8095238095238095	0.5	0.5	0.333333	0.5	real_295	superior
4903	0.7894736842105263	0.166667	0.5	0.1	0.166667	real_295	superior
4970	0.4230769230769231	0.2	0.111111	0.076923	0.111111	real_295	inferior
4977	0.5555555555555556	0.5	0.5	0.5	0.5	real_295	inferior
4984	0.2857142857142857	0.325	0.325	0.266667	0.325	real_295	inferior
5018	0.52	0.5	0.25	0.333333	0.25	real_295	inferior
5019	0.5833333333333334	0.25	0.166667	0.333333	0.25	real_295	inferior
5020	0.4705882352941176	0.5	0.5	0.333333	0.5	real_295	inferior
5022	0.5238095238095238	0.5	0.333333	0.333333	0.333333	real_295	inferior
5025	0.6521739130434783	0.25	0.2	0.2	0.2	real_295	inferior
5026	0.625	0.333333	0.25	0.333333	0.25	real_295	inferior
5027	0.5185185185185185	0.142857	0.125	0.142857	0.125	real_295	inferior
5028	0.5652173913043478	0.25	0.25	0.2	0.2	real_295	inferior
5029	0.6956521739130435	0.5	0.5	0.5	0.5	real_295	inferior
5041	0.64	0.333333	0.333333	0.333333	0.25	real_295	inferior
5287	0.875	0.5	0.5	0.25	0.5	real_295	superior
5289	0.9017857142857143	0.583333	0.583333	0.6	0.392857	real_295	superior
5290	0.9017857142857143	0.583333	0.583333	0.611111	0.392857	real_295	superior
5292	0.9017857142857143	0.583333	0.583333	0.576923	0.375	real_295	superior
5293	0.875	0.333333	0.5	0.125	0.25	real_295	superior
5294	0.875	0.5	0.5	0.142857	0.25	real_295	superior
5295	0.875	0.5	0.5	0.1	0.142857	real_295	superior
5296	0.875	0.5	0.5	0.076923	0.125	real_295	superior
5297	0.875	1.0	1.0	0.2	1.0	real_295	superior
5298	0.875	0.5	0.5	0.111111	0.166667	real_295	superior
5299	0.875	0.5	0.5	0.125	0.333333	real_295	superior
5300	0.875	0.5	0.5	0.333333	0.5	real_295	superior
5301	0.875	0.5	0.5	0.1	0.166667	real_295	superior
5302	0.875	0.5	0.5	0.25	0.333333	real_295	superior
5307	0.7931034482758621	0.5	0.5	0.125	0.333333	real_295	superior
5309	0.7931034482758621	0.5	0.5	0.2	0.5	real_295	superior
5310	0.7931034482758621	0.25	0.25	0.125	0.2	real_295	superior
5312	0.7931034482758621	0.5	0.5	0.125	0.2	real_295	superior
5338	0.5909090909090909	0.1	0.1	0.1	0.1	real_295	inferior
5474	0.7333333333333333	0.5	0.5	0.5	0.5	real_295	inferior
5553	0.8461538461538461	0.5	0.5	0.5	0.5	real_295	superior
5604	0.1818181818181818	1.0	1.0	1.0	1.0	real_295	inferior
5618	0.2916666666666667	1.0	0.333333	1.0	1.0	real_295	inferior
5620	0.2916666666666667	1.0	0.5	1.0	0.5	real_295	inferior
5915	0.25	1.0	1.0	1.0	1.0	real_295	inferior
5920	0.4166666666666667	1.0	1.0	1.0	1.0	real_295	inferior
6024	0.5555555555555556	1.0	1.0	0.5	1.0	real_295	inferior
6025	0.6666666666666666	0.5	0.5	0.333333	0.5	real_295	inferior
6026	0.75	0.5	0.5	0.5	0.5	real_295	inferior
6027	0.8095238095238095	0.5	0.5	0.333333	0.5	real_295	superior
6028	0.7777777777777778	0.5	0.5	0.5	0.5	real_295	superior
6029	0.8	1.0	1.0	1.0	1.0	real_295	superior
6030	0.8095238095238095	1.0	1.0	1.0	1.0	real_295	superior
6031	0.8095238095238095	1.0	1.0	1.0	1.0	real_295	superior
6032	0.8095238095238095	1.0	1.0	1.0	1.0	real_295	superior
6033	0.7142857142857143	1.0	1.0	1.0	1.0	real_295	inferior
6034	0.8	1.0	1.0	1.0	1.0	real_295	superior
6035	0.8	1.0	1.0	1.0	1.0	real_295	superior
6036	0.8	1.0	1.0	1.0	1.0	real_295	superior
6037	0.7777777777777778	1.0	1.0	1.0	1.0	real_295	superior
6038	0.8333333333333334	1.0	1.0	1.0	1.0	real_295	superior
6039	0.8333333333333334	1.0	1.0	1.0	1.0	real_295	superior
6040	0.6488095238095238	0.642857	0.642857	0.642857	0.642857	real_295	inferior
6041	0.6290509259259259	0.611111	0.642857	0.666667	0.666667	real_295	inferior
6042	0.6366666666666666	0.642857	0.642857	0.7	0.7	real_295	inferior
6043	0.84	1.0	1.0	1.0	1.0	real_295	superior
6044	0.5555555555555556	0.5	0.5	0.5	0.5	real_295	inferior
6045	0.5	0.5	0.5	0.5	0.5	real_295	inferior
6046	0.7333333333333333	1.0	1.0	1.0	1.0	real_295	inferior
6047	0.8461538461538461	1.0	1.0	1.0	1.0	real_295	superior
6048	0.4285714285714285	0.333333	0.333333	0.333333	0.333333	real_295	inferior
6049	0.4285714285714285	1.0	1.0	1.0	1.0	real_295	inferior
6050	0.6	1.0	1.0	1.0	1.0	real_295	inferior
6051	0.7333333333333333	0.5	0.5	0.5	0.5	real_295	inferior
6052	0.75	0.5	0.5	0.5	0.5	real_295	inferior
6053	0.8260869565217391	0.5	0.5	0.5	0.5	real_295	superior
6054	0.8518518518518519	0.5	0.5	0.5	0.5	real_295	superior
6055	0.75	1.0	1.0	1.0	1.0	real_295	inferior
6056	0.8461538461538461	0.5	0.5	0.5	0.5	real_295	superior
6057	0.8461538461538461	0.5	0.5	0.5	0.5	real_295	superior
