source	query_id	method	half	ndcg@10	ndcg@100
real_295	562	bm25	inferior	0.0	0.2559580248098155
real_295	562	e5	inferior	0.0	0.17219543379409813
real_295	562	e5_hybrid	inferior	0.0	0.21533827903669653
real_295	562	bge_m3_hybrid	inferior	0.3010299956639812	0.3010299956639812
real_295	717	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	717	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	717	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	717	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	780	bm25	inferior	0.43067655807339306	0.43067655807339306
real_295	780	e5	inferior	0.43067655807339306	0.43067655807339306
real_295	780	e5_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	780	bge_m3_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	861	bm25	inferior	0.31546487678572877	0.31546487678572877
real_295	861	e5	inferior	0.3010299956639812	0.3010299956639812
real_295	861	e5_hybrid	inferior	0.31546487678572877	0.31546487678572877
real_295	861	bge_m3_hybrid	inferior	0.3010299956639812	0.3010299956639812
real_295	923	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	923	e5	superior	0.5	0.5
real_295	923	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	923	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	1097	bm25	inferior	0.0	0.1854490234153689
real_295	1097	e5	inferior	0.0	0.17542506358195453
real_295	1097	e5_hybrid	inferior	0.0	0.18316925091363362
real_295	1097	bge_m3_hybrid	inferior	0.0	0.19823986317056053
real_295	1098	bm25	inferior	0.0	0.18428883314870617
real_295	1098	e5	inferior	0.0	0.18208790046993825
real_295	1098	e5_hybrid	inferior	0.0	0.18428883314870617
real_295	1098	bge_m3_hybrid	inferior	0.0	0.1949590218937863
real_295	1275	bm25	inferior	0.5706417189553201	0.5706417189553201
real_295	1275	e5	inferior	0.5706417189553201	0.5706417189553201
real_295	1275	e5_hybrid	inferior	0.5706417189553201	0.5706417189553201
real_295	1275	bge_m3_hybrid	inferior	0.5706417189553201	0.5706417189553201
real_295	1276	bm25	inferior	0.5	0.5
real_295	1276	e5	inferior	0.5	0.5
real_295	1276	e5_hybrid	inferior	0.5	0.5
real_295	1276	bge_m3_hybrid	inferior	0.5	0.5
real_295	1324	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	1324	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	1324	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1324	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1331	bm25	inferior	0.0	0.25
