recall;bm25;e5;e5_hybrid;bge_m3;bge_m3_hybrid
0.000000000;1.000000;1.000000;1.000000;1.000000;1.000000
0.011905000;1.000000;1.000000;1.000000;1.000000;0.952381
0.023810000;1.000000;1.000000;1.000000;1.000000;0.952381
0.035714000;1.000000;1.000000;1.000000;1.000000;0.952381
0.047619000;0.500000;1.000000;1.000000;1.000000;0.952381
0.059524000;0.500000;0.923077;1.000000;1.000000;0.952381
0.071429000;0.500000;0.923077;1.000000;1.000000;0.952381
0.083333000;0.500000;0.923077;1.000000;1.000000;0.952381
0.095238000;0.353846;0.923077;1.000000;0.818182;0.952381
0.107143000;0.353846;0.923077;1.000000;0.818182;0.952381
0.119048000;0.353846;0.923077;1.000000;0.714286;0.952381
0.130952000;0.353846;0.923077;1.000000;0.687500;0.952381
0.142857000;0.353846;0.923077;1.000000;0.666667;0.952381
0.154762000;0.353846;0.812500;1.000000;0.636364;0.952381
0.166667000;0.353846;0.789474;1.000000;0.636364;0.952381
0.178571000;0.353846;0.789474;1.000000;0.600000;0.952381
0.190476000;0.353846;0.695652;1.000000;0.533333;0.952381
0.202381000;0.353846;0.680000;1.000000;0.529412;0.952381
0.214286000;0.353846;0.642857;1.000000;0.529412;0.952381
0.226190000;0.353846;0.593750;0.900000;0.527778;0.952381
0.238095000;0.353846;0.540541;0.900000;0.333333;0.952381
0.250000000;0.353846;0.521739;0.900000;0.291667;0.828571
0.261905000;0.353846;0.521739;0.900000;0.268293;0.828571
0.273810000;0.353846;0.521739;0.900000;0.230000;0.828571
0.285714000;0.262626;0.521739;0.900000;0.206612;0.828571
0.297619000;0.262626;0.520000;0.900000;0.206612;0.828571
0.309524000;0.262626;0.520000;0.900000;0.198473;0.828571
0.321429000;0.220588;0.482143;0.900000;0.187500;0.828571
0.333333000;0.220588;0.459016;0.789474;0.180723;0.828571
0.345238000;0.220588;0.434783;0.789474;0.180723;0.828571
0.357143000;0.220588;0.434783;0.789474;0.180723;0.767442
0.369048000;0.219858;0.430556;0.673913;0.180233;0.767442
0.380952000;0.211538;0.410256;0.603774;0.179775;0.767442
0.392857000;0.211538;0.349515;0.562500;0.178378;0.767442
0.404762000;0.196364;0.349515;0.562500;0.170000;0.723404
0.416667000;0.196364;0.349515;0.562500;0.159091;0.703704
0.428571000;0.196364;0.349515;0.562500;0.152263;0.703704
0.440476000;0.196364;0.270073;0.528571;0.152263;0.703704
0.452381000;0.196364;0.169643;0.506173;0.128814;0.703704
0.464286000;0.196364;0.163180;0.506173;0.127036;0.694915
0.476190000;0.196364;0.150376;0.506173;0.115493;0.694915
0.488095000;0.196364;0.148551;0.506173;0.115493;0.694915
0.500000000;0.196364;0.144330;0.505882;0.109948;0.666667
0.511905000;0.196364;0.134796;0.505882;0.105651;0.637681
0.523810000;0.196364;0.132931;0.480769;0.103044;0.637681
0.535714000;0.196364;0.129577;0.480769;0.097403;0.616438
0.547619000;0.196364;0.129577;0.480769;0.094000;0.610390
0.559524000;0.196364;0.128767;0.480769;0.094000;0.610390
0.571429000;0.196364;0.121519;0.480769;0.090395;0.548387
0.583333000;0.196364;0.116390;0.480769;0.079805;0.548387
0.595238000;0.196364;0.108696;0.480769;0.070522;0.548387
0.607143000;0.196364;0.098182;0.456897;0.070461;0.548387
0.619048000;0.196364;0.098182;0.456897;0.070461;0.534653
0.630952000;0.196364;0.098182;0.456897;0.057613;0.534653
0.642857000;0.196364;0.098182;0.447154;0.057613;0.534653
0.654762000;0.159420;0.096322;0.447154;0.057613;0.528846
0.666667000;0.138272;0.094118;0.434109;0.057613;0.491525
0.678571000;0.120724;0.091346;0.428571;0.055610;0.491525
0.690476000;0.120724;0.088012;0.420690;0.055186;0.491525
0.702381000;0.120724;0.085837;0.420690;0.052028;0.464567
0.714286000;0.120724;0.085837;0.420690;0.048900;0.462121
0.726190000;0.109155;0.085434;0.420690;0.044397;0.462121
0.738095000;0.109155;0.080834;0.402597;0.044397;0.438356
0.750000000;0.102773;0.072414;0.392638;0.044397;0.438356
0.761905000;0.073465;0.071190;0.392638;0.043420;0.438356
0.773810000;0.073465;0.064806;0.380117;0.043420;0.420382
0.785714000;0.073465;0.059534;0.366667;0.042694;0.420382
0.797619000;0.073465;0.059534;0.346939;0.042694;0.356383
0.809524000;0.067449;0.059534;0.346939;0.042694;0.320755
0.821429000;0.067449;0.059534;0.316742;0.042694;0.305310
0.833333000;0.029623;0.050143;0.316742;0.042694;0.300429
0.845238000;0.029314;0.048234;0.307692;0.042694;0.297071
0.857143000;0.029314;0.048000;0.307692;0.042528;0.277992
0.869048000;0.029314;0.040265;0.293651;0.042319;0.247492
0.880952000;0.029314;0.035731;0.293651;0.040349;0.247492
0.892857000;0.029314;0.035731;0.272727;0.038700;0.218023
0.904762000;0.029314;0.035631;0.262976;0.036911;0.212291
0.916667000;0.029314;0.035435;0.260135;0.036545;0.182033
0.928571000;0.029314;0.032963;0.254902;0.036272;0.174009
0.940476000;0.029314;0.032963;0.252396;0.036272;0.174009
0.952381000;0.027454;0.032963;0.245399;0.036117;0.158416
0.964286000;0.020983;0.032400;0.231429;0.034704;0.157895
0.976190000;0.020983;0.032122;0.227147;0.034011;0.106632
0.988095000;0.018555;0.032122;0.160853;0.033240;0.090119
1.000000000;0.018555;0.032122;0.076087;0.029309;0.083749
