recall;bm25;e5;e5_hybrid;bge_m3_hybrid
0.000000000;1.000000;1.000000;1.000000;1.000000
0.001059000;1.000000;0.322581;0.694203;0.693820
0.002119000;1.000000;0.322581;0.694203;0.693820
0.003178000;0.656716;0.322581;0.694203;0.693820
0.004237000;0.656716;0.322581;0.694203;0.693820
0.005297000;0.656716;0.322581;0.694203;0.693820
0.006356000;0.656716;0.322581;0.694203;0.693820
0.007415000;0.656716;0.322581;0.694203;0.693820
0.008475000;0.656716;0.322581;0.694203;0.693820
0.009534000;0.656716;0.322581;0.694203;0.693820
0.010593000;0.656716;0.322581;0.694203;0.693820
0.011653000;0.656716;0.322581;0.694203;0.693820
0.012712000;0.656716;0.322581;0.694203;0.693820
0.013771000;0.656716;0.322581;0.694203;0.693820
0.014831000;0.656716;0.322581;0.694203;0.693820
0.015890000;0.656716;0.322581;0.694203;0.693820
0.016949000;0.656716;0.322581;0.694203;0.693820
0.019068000;0.656716;0.322581;0.694203;0.693820
0.020127000;0.656716;0.322581;0.694203;0.693820
0.021186000;0.656716;0.322581;0.694203;0.693820
0.022246000;0.656716;0.322581;0.694203;0.693820
0.023305000;0.656716;0.322581;0.694203;0.693820
0.024364000;0.656716;0.322581;0.694203;0.693820
0.025424000;0.656716;0.322581;0.694203;0.693820
0.026483000;0.656716;0.322581;0.694203;0.693820
0.027542000;0.656716;0.322581;0.694203;0.693820
0.028602000;0.656716;0.322581;0.694203;0.693820
0.029661000;0.656716;0.322581;0.694203;0.693820
0.030720000;0.656716;0.322581;0.694203;0.693820
0.031780000;0.656716;0.322581;0.694203;0.693820
0.032839000;0.656716;0.322581;0.694203;0.693820
0.033898000;0.656716;0.322581;0.694203;0.693820
0.034958000;0.656716;0.322581;0.694203;0.693820
0.036017000;0.656716;0.322581;0.694203;0.693820
0.037076000;0.656716;0.322581;0.694203;0.693820
0.038136000;0.656716;0.322581;0.694203;0.693820
0.039195000;0.656716;0.322581;0.694203;0.693820
0.040254000;0.656716;0.322581;0.694203;0.693820
0.041314000;0.656716;0.322581;0.694203;0.693820
0.042373000;0.656716;0.322581;0.694203;0.693820
0.043432000;0.656716;0.322581;0.694203;0.693820
0.044492000;0.656716;0.322581;0.694203;0.693820
0.045551000;0.656716;0.322581;0.694203;0.693820
0.046610000;0.656716;0.322581;0.694203;0.693820
0.047669000;0.652174;0.322581;0.694203;0.693820
0.048729000;0.641026;0.322581;0.694203;0.693820
0.049788000;0.641026;0.322581;0.694203;0.693820
0.050847000;0.641026;0.322581;0.694203;0.693820
0.051907000;0.641026;0.322581;0.694203;0.693820
0.052966000;0.641026;0.322581;0.694203;0.693820
0.054025000;0.600000;0.322581;0.694203;0.693820
0.055085000;0.600000;0.322581;0.694203;0.693820
0.056144000;0.600000;0.322581;0.694203;0.693820
0.057203000;0.600000;0.322581;0.694203;0.693820
0.058263000;0.600000;0.322581;0.694203;0.693820
0.059322000;0.600000;0.322581;0.694203;0.693820
0.060381000;0.600000;0.322581;0.694203;0.693820
0.061441000;0.600000;0.322581;0.694203;0.693820
0.062500000;0.600000;0.322581;0.694203;0.693820
0.063559000;0.600000;0.322581;0.694203;0.693820
0.064619000;0.596154;0.322581;0.694203;0.693820
0.065678000;0.596154;0.322581;0.694203;0.693820
0.066737000;0.572727;0.322581;0.694203;0.693820
0.067797000;0.537815;0.322581;0.694203;0.693820
0.068856000;0.491150;0.322581;0.694203;0.693820
0.069915000;0.491150;0.322581;0.694203;0.693820
0.070975000;0.491150;0.322581;0.694203;0.693820
0.072034000;0.491150;0.322581;0.694203;0.693820
0.073093000;0.491150;0.322581;0.694203;0.693820
0.074153000;0.491150;0.322581;0.694203;0.693820
0.075212000;0.491150;0.322581;0.694203;0.693820
0.076271000;0.491150;0.322581;0.694203;0.693820
0.077331000;0.491150;0.322581;0.694203;0.693820
0.078390000;0.491150;0.322581;0.694203;0.693820
0.079449000;0.491150;0.322581;0.694203;0.693820
0.080508000;0.491150;0.322581;0.694203;0.693820
0.081568000;0.491150;0.322581;0.694203;0.693820
0.082627000;0.491150;0.322581;0.694203;0.693820
0.083686000;0.491150;0.322581;0.694203;0.693820
0.084746000;0.491150;0.322581;0.694203;0.693820
0.085805000;0.491150;0.322581;0.694203;0.693820
0.086864000;0.491150;0.322581;0.694203;0.693820
0.087924000;0.491150;0.322581;0.694203;0.693820
0.088983000;0.491150;0.322581;0.694203;0.693820
0.090042000;0.491150;0.322581;0.694203;0.693820
0.091102000;0.491150;0.322581;0.694203;0.693820
0.092161000;0.491150;0.322581;0.694203;0.693820
0.093220000;0.491150;0.322581;0.694203;0.693820
0.094280000;0.491150;0.322581;0.694203;0.693820
0.095339000;0.491150;0.322581;0.694203;0.693820
0.096398000;0.491150;0.322581;0.694203;0.693820
0.097458000;0.491150;0.322581;0.694203;0.693820
0.098517000;0.491150;0.322581;0.694203;0.693820
0.099576000;0.491150;0.322581;0.694203;0.693820
0.100636000;0.491150;0.322581;0.694203;0.693820
0.101695000;0.491150;0.322581;0.694203;0.693820
0.102754000;0.491150;0.322581;0.694203;0.693820
0.103814000;0.491150;0.322581;0.694203;0.693820
0.104873000;0.491150;0.322581;0.694203;0.693820
0.105932000;0.491150;0.322581;0.694203;0.693820
0.106992000;0.491150;0.322581;0.694203;0.693820
0.108051000;0.491150;0.322581;0.694203;0.693820
0.109110000;0.491150;0.322581;0.694203;0.693820
0.110169000;0.491150;0.322581;0.694203;0.693820
0.111229000;0.491150;0.322581;0.694203;0.693820
0.112288000;0.491150;0.322581;0.694203;0.693820
0.113347000;0.491150;0.322581;0.694203;0.693820
0.114407000;0.491150;0.322581;0.694203;0.693820
0.115466000;0.491150;0.322581;0.694203;0.693820
0.116525000;0.491150;0.322581;0.694203;0.693820
0.117585000;0.491150;0.322581;0.694203;0.693820
0.118644000;0.468514;0.322581;0.694203;0.693820
0.119703000;0.468514;0.322581;0.694203;0.693820
0.120763000;0.468514;0.322581;0.694203;0.693820
0.121822000;0.468514;0.322581;0.694203;0.693820
0.122881000;0.468514;0.322581;0.694203;0.693820
0.123941000;0.468514;0.322581;0.694203;0.693820
0.125000000;0.468514;0.322581;0.694203;0.693820
0.126059000;0.468514;0.322581;0.694203;0.693820
0.127119000;0.468514;0.322581;0.694203;0.693820
0.128178000;0.468514;0.322581;0.694203;0.693820
0.129237000;0.468514;0.322581;0.694203;0.693820
0.130297000;0.468514;0.322581;0.694203;0.693820
0.131356000;0.468514;0.322581;0.694203;0.693820
0.132415000;0.468514;0.322581;0.694203;0.693820
0.133475000;0.468514;0.322581;0.694203;0.693820
0.134534000;0.468514;0.322581;0.694203;0.693820
0.135593000;0.468514;0.322581;0.694203;0.693820
0.136653000;0.468514;0.322581;0.694203;0.693820
0.137712000;0.468514;0.322581;0.694203;0.693820
0.138771000;0.468514;0.322581;0.694203;0.693820
0.139831000;0.468514;0.322581;0.694203;0.693820
0.140890000;0.468514;0.322581;0.694203;0.693820
0.141949000;0.468514;0.322581;0.694203;0.693820
0.143008000;0.468514;0.322581;0.694203;0.693820
0.144068000;0.468514;0.322581;0.694203;0.693820
0.145127000;0.468514;0.322581;0.694203;0.693820
0.146186000;0.468514;0.322581;0.694203;0.693820
0.147246000;0.468514;0.322581;0.694203;0.693820
0.148305000;0.468514;0.322581;0.694203;0.693820
0.149364000;0.468514;0.322581;0.694203;0.693820
0.150424000;0.468514;0.322581;0.694203;0.693820
0.151483000;0.468514;0.322581;0.694203;0.693820
0.152542000;0.468514;0.322581;0.694203;0.693820
0.154661000;0.468514;0.322581;0.694203;0.693820
0.155720000;0.468514;0.322581;0.694203;0.693820
0.156780000;0.468514;0.322581;0.694203;0.693820
0.157839000;0.468514;0.322581;0.694203;0.693820
0.158898000;0.468514;0.322581;0.694203;0.693820
0.159958000;0.468514;0.322581;0.694203;0.693820
0.162076000;0.468514;0.322581;0.694203;0.693820
0.163136000;0.468514;0.322581;0.694203;0.693820
0.164195000;0.468514;0.322581;0.694203;0.693820
0.165254000;0.468514;0.322581;0.694203;0.693820
0.166314000;0.468514;0.322581;0.694203;0.693820
0.167373000;0.468514;0.322581;0.694203;0.693820
0.168432000;0.468514;0.322581;0.694203;0.693820
0.169492000;0.468514;0.322581;0.694203;0.693820
0.170551000;0.468514;0.322134;0.694203;0.693820
0.171610000;0.468514;0.322134;0.694203;0.693820
0.172669000;0.468514;0.322134;0.694203;0.693820
0.173729000;0.468514;0.320826;0.694203;0.693820
0.174788000;0.468514;0.320826;0.694203;0.693820
0.175847000;0.468514;0.320826;0.694203;0.693820
0.176907000;0.468514;0.320826;0.694203;0.693820
0.177966000;0.468514;0.320826;0.694203;0.693820
0.179025000;0.468514;0.320826;0.694203;0.693820
0.180085000;0.468514;0.320826;0.694203;0.693820
0.181144000;0.468514;0.320826;0.694203;0.693820
0.182203000;0.468514;0.320442;0.694203;0.693820
0.183263000;0.468514;0.320442;0.694203;0.693820
0.184322000;0.468514;0.320442;0.694203;0.693820
0.185381000;0.468514;0.318761;0.694203;0.693820
0.186441000;0.468514;0.312611;0.694203;0.693820
0.187500000;0.468514;0.309982;0.694203;0.693820
0.188559000;0.468514;0.309565;0.694203;0.693820
0.189619000;0.468514;0.308748;0.694203;0.693820
0.190678000;0.468514;0.308748;0.694203;0.693820
0.191737000;0.468514;0.307953;0.694203;0.693820
0.192797000;0.468514;0.307953;0.694203;0.693820
0.193856000;0.468514;0.307563;0.694203;0.693820
0.194915000;0.468514;0.304075;0.694203;0.693820
0.195975000;0.468514;0.304075;0.694203;0.693820
0.197034000;0.468514;0.304075;0.694203;0.693820
0.198093000;0.467980;0.304075;0.694203;0.693820
0.199153000;0.467980;0.304075;0.694203;0.693820
0.200212000;0.467980;0.304075;0.694203;0.693820
0.201271000;0.467980;0.304075;0.694203;0.693820
0.202331000;0.466993;0.304075;0.694203;0.693820
0.203390000;0.463470;0.304075;0.694203;0.693820
0.204449000;0.463470;0.304075;0.694203;0.693820
0.205508000;0.463470;0.304075;0.694203;0.693820
0.206568000;0.463470;0.303266;0.694203;0.693820
0.207627000;0.463470;0.299237;0.694203;0.693820
0.208686000;0.463470;0.298643;0.694203;0.693820
0.209746000;0.463470;0.298643;0.694203;0.693820
0.210805000;0.463470;0.298351;0.694203;0.693820
0.211864000;0.463470;0.296736;0.694203;0.693820
0.212924000;0.463470;0.296512;0.694203;0.693820
0.213983000;0.463470;0.296512;0.694203;0.693820
0.215042000;0.463470;0.296512;0.694203;0.693820
0.216102000;0.451542;0.296512;0.694203;0.693820
0.217161000;0.451542;0.293201;0.694203;0.693820
0.218220000;0.438017;0.293201;0.694203;0.693820
0.219280000;0.438017;0.293201;0.694203;0.693820
0.220339000;0.438017;0.292906;0.694203;0.693820
0.221398000;0.438017;0.292906;0.694203;0.693820
0.222458000;0.438017;0.292906;0.694203;0.693820
0.223517000;0.438017;0.292906;0.694203;0.693820
0.224576000;0.438017;0.292906;0.694203;0.693820
0.225636000;0.401562;0.292906;0.694203;0.693820
0.226695000;0.401562;0.292906;0.694203;0.693820
0.227754000;0.401562;0.292906;0.694203;0.693820
0.228814000;0.401562;0.292906;0.694203;0.693820
0.229873000;0.401562;0.292906;0.694203;0.693820
0.230932000;0.401562;0.292906;0.694203;0.693820
0.231992000;0.401562;0.292906;0.694203;0.693820
0.233051000;0.401562;0.292906;0.694203;0.693820
0.234110000;0.401562;0.292906;0.694203;0.693820
0.235169000;0.401562;0.292906;0.694203;0.693820
0.236229000;0.401562;0.292906;0.694203;0.693820
0.237288000;0.401562;0.292906;0.694203;0.693820
0.238347000;0.401562;0.292906;0.694203;0.693820
0.239407000;0.401562;0.292906;0.694203;0.693820
0.240466000;0.401562;0.292906;0.694203;0.693820
0.241525000;0.401562;0.292906;0.694203;0.693820
0.242585000;0.401562;0.292906;0.694203;0.693820
0.243644000;0.401562;0.292906;0.694203;0.693820
0.244703000;0.401562;0.292906;0.694203;0.693820
0.245763000;0.401562;0.292906;0.694203;0.693820
0.246822000;0.401562;0.292906;0.694203;0.693820
0.247881000;0.401562;0.292906;0.694203;0.693820
0.248941000;0.401562;0.292906;0.694203;0.693820
0.250000000;0.401562;0.292906;0.694203;0.693820
0.251059000;0.401562;0.292906;0.694203;0.693820
0.252119000;0.401562;0.292906;0.694203;0.693820
0.253178000;0.401562;0.292906;0.694203;0.693820
0.254237000;0.401562;0.292906;0.694203;0.693820
0.255297000;0.401562;0.292906;0.694203;0.693820
0.256356000;0.401562;0.292906;0.694203;0.693820
0.257415000;0.401562;0.292906;0.694203;0.693820
0.258475000;0.401562;0.292906;0.694203;0.693820
0.259534000;0.401562;0.292906;0.694203;0.693820
0.260593000;0.401562;0.292906;0.694203;0.693820
0.261653000;0.401562;0.292906;0.694203;0.693820
0.262712000;0.401562;0.292906;0.694203;0.693820
0.263771000;0.401562;0.292906;0.694203;0.693820
0.264831000;0.401562;0.292906;0.694203;0.693820
0.265890000;0.401562;0.292906;0.694203;0.693820
0.266949000;0.401562;0.292906;0.694203;0.693820
0.268008000;0.401562;0.292906;0.694203;0.693820
0.269068000;0.401562;0.292906;0.694203;0.693820
0.271186000;0.401562;0.292906;0.694203;0.693820
0.272246000;0.401562;0.291855;0.694203;0.693820
0.273305000;0.400621;0.291855;0.694203;0.693820
0.274364000;0.397849;0.291153;0.694203;0.693820
0.275424000;0.392749;0.291153;0.694203;0.693820
0.276483000;0.389956;0.290092;0.694203;0.693820
0.277542000;0.389956;0.290092;0.694203;0.693820
0.279661000;0.389956;0.290092;0.694203;0.693820
0.280720000;0.388889;0.290092;0.694203;0.693820
0.281780000;0.388889;0.290092;0.694203;0.693820
0.282839000;0.384298;0.290092;0.694203;0.693820
0.283898000;0.384298;0.290092;0.694203;0.693820
0.284958000;0.384298;0.290092;0.694203;0.693820
0.286017000;0.384298;0.290092;0.694203;0.693820
0.287076000;0.384298;0.290092;0.694203;0.693820
0.288136000;0.384298;0.290092;0.694203;0.693820
0.289195000;0.384298;0.290092;0.694203;0.693820
0.290254000;0.384298;0.290092;0.694203;0.693820
0.291314000;0.384298;0.290092;0.694203;0.693820
0.292373000;0.384298;0.290092;0.694203;0.693820
0.293432000;0.384298;0.290092;0.694203;0.693820
0.294492000;0.384298;0.290092;0.694203;0.693820
0.295551000;0.384298;0.290092;0.694203;0.693820
0.296610000;0.375668;0.290092;0.694203;0.693820
0.297669000;0.375668;0.290092;0.694203;0.693820
0.298729000;0.373510;0.290092;0.694203;0.693820
0.299788000;0.369171;0.290092;0.694203;0.693820
0.300847000;0.369171;0.290092;0.694203;0.693820
0.301907000;0.369171;0.288597;0.694203;0.693820
0.302966000;0.330636;0.288597;0.694203;0.693820
0.304025000;0.329897;0.288153;0.694203;0.693820
0.305085000;0.329897;0.285714;0.694203;0.693820
0.306144000;0.329897;0.285574;0.694203;0.693820
0.307203000;0.329897;0.285574;0.694203;0.693820
0.308263000;0.329897;0.285574;0.694203;0.693820
0.309322000;0.329897;0.285156;0.694203;0.693820
0.310381000;0.329897;0.284466;0.694203;0.693820
0.311441000;0.329897;0.282421;0.694203;0.693820
0.313559000;0.329897;0.282319;0.694203;0.693820
0.314619000;0.329897;0.282319;0.694203;0.693820
0.315678000;0.329897;0.282197;0.694203;0.693820
0.316737000;0.329897;0.272313;0.694203;0.693820
0.317797000;0.329897;0.271095;0.694203;0.693820
0.318856000;0.329897;0.271095;0.694203;0.693820
0.319915000;0.329897;0.271095;0.694203;0.693820
0.320975000;0.329897;0.268314;0.694203;0.693820
0.322034000;0.329897;0.268314;0.694203;0.693820
0.323093000;0.329897;0.266842;0.694203;0.693820
0.324153000;0.329897;0.266551;0.694203;0.693820
0.325212000;0.329897;0.266493;0.694203;0.693820
0.326271000;0.329897;0.264832;0.694203;0.693820
0.327331000;0.329897;0.264456;0.694203;0.693820
0.328390000;0.329897;0.264456;0.694203;0.693820
0.329449000;0.329897;0.264456;0.694203;0.693820
0.330508000;0.329897;0.261051;0.694203;0.693820
0.331568000;0.329897;0.261051;0.694203;0.693820
0.332627000;0.329897;0.261014;0.694203;0.693820
0.333686000;0.329897;0.259259;0.694203;0.693820
0.334746000;0.329897;0.257959;0.694203;0.693820
0.335805000;0.329897;0.257305;0.694203;0.693820
0.336864000;0.329897;0.255200;0.694203;0.693820
0.337924000;0.329897;0.255200;0.694203;0.693820
0.338983000;0.329897;0.251572;0.694203;0.693820
0.340042000;0.290380;0.251567;0.694203;0.693820
0.341102000;0.290380;0.250389;0.694203;0.693820
0.342161000;0.290380;0.249048;0.694203;0.693820
0.343220000;0.290380;0.249048;0.694203;0.693820
0.344280000;0.290380;0.249048;0.694203;0.693820
0.346398000;0.290380;0.249048;0.694203;0.693820
0.347458000;0.290380;0.248673;0.694203;0.693820
0.348517000;0.290380;0.245156;0.694203;0.693820
0.349576000;0.290160;0.243902;0.694203;0.693820
0.350636000;0.290160;0.240029;0.694203;0.693820
0.351695000;0.290160;0.238506;0.694203;0.693820
0.352754000;0.290160;0.234551;0.694203;0.693820
0.353814000;0.290160;0.234551;0.694203;0.693820
0.354873000;0.290160;0.234146;0.694203;0.693820
0.355932000;0.290160;0.234146;0.694203;0.693820
0.356992000;0.290160;0.233703;0.694203;0.693820
0.358051000;0.290160;0.232670;0.694203;0.693820
0.359110000;0.290160;0.232670;0.694203;0.693820
0.360169000;0.290160;0.230873;0.694203;0.693820
0.361229000;0.290160;0.230873;0.694203;0.693820
0.362288000;0.290160;0.229748;0.694203;0.693820
0.363347000;0.290160;0.229748;0.694203;0.693820
0.364407000;0.290160;0.229748;0.694203;0.693820
0.365466000;0.290160;0.229748;0.694203;0.693820
0.366525000;0.282927;0.229748;0.694203;0.693820
0.367585000;0.282927;0.226623;0.694203;0.693820
0.368644000;0.282927;0.226623;0.694203;0.693820
0.369703000;0.271186;0.226623;0.694203;0.693820
0.370763000;0.271186;0.225434;0.694203;0.693820
0.371822000;0.271186;0.225434;0.694203;0.693820
0.372881000;0.271186;0.223418;0.694203;0.693820
0.373941000;0.271186;0.223418;0.694203;0.693820
0.375000000;0.271186;0.223203;0.694203;0.693820
0.376059000;0.271186;0.222710;0.694203;0.693820
0.377119000;0.271186;0.222707;0.694203;0.693820
0.378178000;0.271186;0.222707;0.694203;0.693820
0.379237000;0.271186;0.222153;0.694203;0.693820
0.380297000;0.271186;0.222153;0.694203;0.693820
0.381356000;0.271186;0.222085;0.694203;0.693820
0.382415000;0.271186;0.221608;0.694203;0.693820
0.383475000;0.271186;0.219927;0.694203;0.693820
0.384534000;0.271186;0.217105;0.694203;0.693820
0.385593000;0.271186;0.217054;0.694203;0.693820
0.386653000;0.271186;0.216875;0.694203;0.693820
0.387712000;0.271186;0.214119;0.694203;0.693820
0.388771000;0.271186;0.214119;0.694203;0.693820
