recall;bm25;e5;e5_hybrid;bge_m3;bge_m3_hybrid
0.000000000;1.000000;1.000000;1.000000;1.000000;1.000000
0.002591000;0.444444;0.250000;0.534351;0.298755;0.547988
0.005181000;0.444444;0.250000;0.534351;0.298755;0.547988
0.007772000;0.444444;0.250000;0.534351;0.298755;0.547988
0.010363000;0.444444;0.210526;0.534351;0.298755;0.547988
0.012953000;0.444444;0.185185;0.534351;0.298755;0.547988
0.015544000;0.444444;0.167683;0.534351;0.298755;0.547988
0.018135000;0.444444;0.167683;0.534351;0.298755;0.547988
0.020725000;0.444444;0.167683;0.534351;0.298755;0.547988
0.023316000;0.434783;0.167683;0.534351;0.298755;0.547988
0.025907000;0.434783;0.167683;0.534351;0.298755;0.547988
0.028497000;0.400000;0.167683;0.534351;0.298755;0.547988
0.031088000;0.400000;0.167683;0.534351;0.298755;0.547988
0.033679000;0.400000;0.167683;0.534351;0.298755;0.547988
0.036269000;0.400000;0.167683;0.534351;0.298755;0.547988
0.038860000;0.400000;0.167683;0.534351;0.298755;0.547988
0.041451000;0.400000;0.167683;0.534351;0.298755;0.547988
0.044041000;0.400000;0.167683;0.534351;0.298755;0.547988
0.046632000;0.400000;0.167683;0.534351;0.298755;0.547988
0.049223000;0.400000;0.167683;0.534351;0.298755;0.547988
0.051813000;0.400000;0.167683;0.534351;0.298755;0.547988
0.054404000;0.400000;0.167683;0.534351;0.298755;0.547988
0.056995000;0.400000;0.167683;0.534351;0.298755;0.547988
0.059585000;0.400000;0.167683;0.534351;0.298755;0.547988
0.062176000;0.400000;0.167683;0.534351;0.298755;0.547988
0.064767000;0.400000;0.167683;0.534351;0.298755;0.547988
0.067358000;0.400000;0.167683;0.534351;0.298755;0.547988
0.069948000;0.400000;0.167683;0.534351;0.298755;0.547988
0.072539000;0.400000;0.167683;0.534351;0.298755;0.547988
0.075130000;0.400000;0.167683;0.534351;0.298755;0.547988
0.077720000;0.400000;0.167683;0.534351;0.298755;0.547988
0.080311000;0.400000;0.167683;0.534351;0.298755;0.547988
0.082902000;0.400000;0.167683;0.534351;0.298755;0.547988
0.085492000;0.400000;0.167683;0.534351;0.298755;0.547988
0.088083000;0.400000;0.167683;0.534351;0.298755;0.547988
0.090674000;0.400000;0.167683;0.534351;0.298755;0.547988
0.093264000;0.400000;0.167683;0.534351;0.298755;0.547988
0.095855000;0.400000;0.167683;0.534351;0.298755;0.547988
0.098446000;0.400000;0.167683;0.534351;0.298755;0.547988
0.101036000;0.400000;0.167683;0.534351;0.298755;0.547988
0.103627000;0.400000;0.167683;0.534351;0.298755;0.547988
0.106218000;0.400000;0.167683;0.534351;0.298755;0.547988
0.108808000;0.400000;0.167683;0.534351;0.298755;0.547988
0.111399000;0.400000;0.167683;0.534351;0.298755;0.547988
0.113990000;0.400000;0.167683;0.534351;0.298755;0.547988
0.116580000;0.400000;0.167683;0.534351;0.298755;0.547988
0.119171000;0.400000;0.167683;0.534351;0.298755;0.547988
0.121762000;0.400000;0.167683;0.534351;0.298755;0.547988
0.124352000;0.400000;0.167683;0.534351;0.298755;0.547988
0.126943000;0.400000;0.167683;0.534351;0.298755;0.547988
0.129534000;0.400000;0.167683;0.534351;0.298755;0.547988
0.132124000;0.400000;0.167683;0.534351;0.298755;0.547988
0.134715000;0.400000;0.167683;0.534351;0.298755;0.547988
0.137306000;0.400000;0.167683;0.534351;0.298755;0.547988
0.139896000;0.400000;0.167683;0.534351;0.298755;0.547988
0.142487000;0.400000;0.167683;0.534351;0.298755;0.547988
0.145078000;0.400000;0.166181;0.534351;0.298755;0.547988
0.147668000;0.400000;0.166181;0.534351;0.298755;0.547988
0.150259000;0.400000;0.160804;0.534351;0.298755;0.547988
0.152850000;0.400000;0.160804;0.534351;0.298755;0.547988
0.155440000;0.400000;0.160804;0.534351;0.298755;0.547988
0.158031000;0.400000;0.160804;0.534351;0.298755;0.547988
0.160622000;0.400000;0.160804;0.534351;0.298755;0.547988
0.163212000;0.384615;0.160804;0.534351;0.298755;0.547988
0.165803000;0.384615;0.160804;0.534351;0.298755;0.547988
0.168394000;0.384615;0.157895;0.534351;0.298755;0.547988
0.170984000;0.328767;0.157895;0.534351;0.298755;0.547988
0.173575000;0.328767;0.152968;0.534351;0.298755;0.547988
0.176166000;0.328767;0.152125;0.534351;0.298755;0.547988
0.178756000;0.328767;0.150743;0.534351;0.298755;0.547988
0.181347000;0.328767;0.150743;0.534351;0.298755;0.547988
0.183938000;0.328767;0.150743;0.534351;0.298755;0.547988
0.186528000;0.328767;0.142857;0.534351;0.298755;0.547988
0.189119000;0.326271;0.139579;0.534351;0.296748;0.547988
0.191710000;0.326271;0.132379;0.534351;0.296154;0.547988
0.194301000;0.326271;0.126689;0.534351;0.296154;0.547988
